S-26B Kaldi   7 0.278351 S: 22, I:  3, D:  2
S-26B Google  7 0.288660 S: 15, I:  0, D: 13
S-26B Kaldi   8 0.232143 S: 10, I:  5, D: 11
S-26B Google  8 0.321429 S: 19, I:  3, D: 14
S-26B Kaldi   9 0.392857 S:  8, I:  1, D:  2
S-26B Google  9 0.392857 S:  8, I:  0, D:  3
S-26B Kaldi  10 0.409091 S: 22, I:  4, D: 10
S-26B Google 10 0.590909 S: 33, I:  3, D: 16
S-26B Kaldi  11 0.285714 S:  1, I:  0, D:  1
S-26B Google 11 0.571429 S:  0, I:  0, D:  4
S-16D Kaldi   0 0.179310 S: 31, I:  9, D: 12
S-16D Google  0 0.217241 S: 43, I:  2, D: 18
S-16D Kaldi   1 0.159420 S: 35, I: 10, D: 32
S-16D Google  1 0.186335 S: 45, I:  1, D: 44
S-16D Kaldi   2 0.197080 S: 30, I: 14, D: 10
S-16D Google  2 0.211679 S: 27, I:  2, D: 29
S-16D Kaldi   3 0.144374 S: 30, I: 22, D: 16
S-16D Google  3 0.178344 S: 45, I:  2, D: 37
S-16D Kaldi   4 0.153639 S: 24, I: 17, D: 16
S-16D Google  4 0.191375 S: 37, I:  2, D: 32
S-16D Kaldi   5 0.213483 S: 26, I: 26, D:  5
S-16D Google  5 0.161049 S: 27, I:  1, D: 15
S-16D Kaldi   6 0.311321 S: 10, I: 13, D: 10
S-16D Google  6 0.330189 S: 15, I:  0, D: 20
S-16D Kaldi   7 0.340426 S:  4, I: 11, D:  1
S-16D Google  7 0.191489 S:  6, I:  1, D:  2
S-16D Kaldi   8 0.196721 S:  6, I: 11, D:  7
S-16D Google  8 0.213115 S: 13, I:  1, D: 12
S-16D Kaldi   9 0.318182 S:  3, I:  3, D:  1
S-16D Google  9 0.272727 S:  2, I:  0, D:  4
S-16D Kaldi  10 0.270270 S:  4, I:  4, D:  2
S-16D Google 10 0.297297 S:  7, I:  1, D:  3
S-16D Kaldi  11 0.236111 S:  4, I: 12, D:  1
S-16D Google 11 0.152778 S:  4, I:  0, D:  7
S-16D Kaldi  12 0.256410 S:  3, I:  7, D:  0
S-16D Google 12 0.153846 S:  3, I:  0, D:  3
S-19C Kaldi   0 0.412371 S: 32, I: 27, D: 21
S-19C Google  0 0.520619 S: 60, I:  2, D: 39
S-19C Kaldi   1 0.524390 S: 21, I:  7, D: 15
S-19C Google  1 0.621951 S: 10, I:  0, D: 41
S-19C Kaldi   2 0.280543 S: 29, I: 10, D: 23
S-19C Google  2 0.461538 S: 51, I:  3, D: 48
S-19C Kaldi   3 0.437500 S: 29, I:  5, D: 15
S-19C Google  3 0.607143 S: 28, I:  6, D: 34
S-19C Kaldi   4 0.319066 S: 46, I:  5, D: 31
S-19C Google  4 0.513619 S: 71, I:  2, D: 59
S-19C Kaldi   5 0.470199 S: 38, I: 11, D: 22
S-19C Google  5 0.589404 S: 37, I:  7, D: 45
S-19C Kaldi   6 0.415730 S: 17, I: 11, D:  9
S-19C Google  6 0.460674 S: 24, I:  1, D: 16
S-19C Kaldi   7 0.406780 S: 13, I:  8, D:  3
S-19C Google  7 0.355932 S: 15, I:  1, D:  5
S-19C Kaldi   8 0.215385 S: 10, I:  1, D:  3
S-19C Google  8 0.292308 S: 10, I:  0, D:  9
S-19C Kaldi   9 0.447368 S: 16, I:  3, D: 15
S-19C Google  9 0.500000 S: 18, I:  0, D: 20
